Iteracion,Punto_P10,Punto_P11,Punto_P12,Punto_P13,Punto_P14,Punto_P15,Punto_P16,Punto_P17,Punto_P18,Punto_P19,Punto_P2,Punto_P20,Punto_P21,Punto_P3,Punto_P4,Punto_P5,Punto_P6,Punto_P7,Punto_P8,Punto_P9,AntenaA,AntenaB,AntenaC,AntenaD
11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51.0,-67.0,-52.0,-55.0
10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-59.0,-58.0,-51.0
20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-48.0,-49.0,-59.0,-49.0
18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-65.0,-65.0,-24.0,-49.0
12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-69.0,-38.0,-49.0
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-52.0,-69.0,-63.0,-71.0
3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-76.0,-49.0,-50.0
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-48.0,-66.0,-59.0,-59.0
3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-55.0,-63.0,-51.0,-55.0
15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-56.0,-61.0,-75.0
8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-68.0,-60.0,-23.0,-50.0
19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-62.0,-78.0,-50.0,-49.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-51.0,-71.0,-60.0,-72.0
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-45.0,-62.0,-58.0,-60.0
8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-65.0,-39.0,-50.0
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-67.0,-49.0,-46.0,-50.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-51.0,-58.0,-60.0,-55.0
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-73.0,-67.0,-64.0
8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-62.0,-74.0,-48.0,-50.0
12,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-68.0,-67.0,-25.0,-50.0
2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-77.0,-48.0,-50.0
16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-49.0,-46.0,-50.0
9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-64.0,-72.0,-34.0,-65.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-47.0,-55.0,-52.0,-54.0
20,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-69.0,-69.0,-23.0,-50.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-51.0,-47.0,-51.0
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-51.0,-47.0,-50.0
10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-52.0,-66.0,-52.0,-55.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-49.0,-56.0,-58.0,-56.0
10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-71.0,-50.0,-44.0
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-56.0,-57.0,-51.0,-49.0
20,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-50.0,-57.0,-59.0,-58.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-44.0,-61.0,-50.0,-51.0
12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-61.0,-75.0,-49.0,-50.0
3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-56.0,-69.0,-49.0,-43.0
8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-54.0,-54.0,-58.0,-50.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-65.0,-67.0,-65.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-56.0,-55.0,-45.0,-52.0
5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-59.0,-59.0,-51.0
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-48.0,-48.0,-52.0
2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-58.0,-70.0,-33.0,-62.0
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-45.0,-60.0,-51.0,-49.0
12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-65.0,-47.0,-43.0
13,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-60.0,-72.0,-34.0,-62.0
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-49.0,-68.0,-52.0,-57.0
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-46.0,-61.0,-51.0,-55.0
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-68.0,-64.0,-65.0
17,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-61.0,-73.0,-34.0,-57.0
11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-67.0,-67.0,-43.0,-55.0
21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-69.0,-42.0,-56.0
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-69.0,-65.0,-69.0
19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-53.0,-79.0,-48.0,-47.0
16,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-66.0,-67.0,-23.0,-49.0
12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-57.0,-56.0,-49.0,-53.0
9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-68.0,-43.0,-55.0
15,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-67.0,-67.0,-24.0,-49.0
14,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-66.0,-67.0,-23.0,-49.0
2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-67.0,-59.0,-60.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-44.0,-60.0,-50.0,-53.0
7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-56.0,-72.0,-48.0,-42.0
16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-58.0,-57.0,-48.0,-50.0
16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-66.0,-69.0,-56.0,-42.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-67.0,-68.0,-65.0
